 ,Australia,Brazil,Canada,Switzerland,Chile,China,Colombia,United Kingdom,Hong Kong SAR,Indonesia,India,Japan,Cambodia,Korea,Mexico,Malaysia,New Zealand,Peru,Philippines,Sweden,Singapore,Thailand,United States,Vietnam,Eurosystem,South Africa,Turkey
Publication of projected path of policy rate [63],No,BCB does not publish its own projections for the interest rate. The published projections use the path of policy rate that comes from the survey conducted among professional forecasters (Focus Survey). This path is public information and is also described in the Copom documents.,No,N/A,No, ,"The Central Bank doesn't present its own interest rate forecast; however, it provides some market-based measures (based on the Overnight Indexed Swaps) included in a report published alongside the minutes.",The path for Bank Rate implied by forward market interest rates is published in the quarterly Inflation Report. The curves are based on overnight index swap rates.,N/A,N,NA,No.,N/A,No,No,-,Yes – 3 year ahead publication horizon [64],No,No,Yes,No,No,FOMC participants’ projections of appropriate policy paths (anonymised) released as part of SEP,The State Bank does not forecast policy interest rates,No,"A fan chart of policy rate projection is published with each MPC statement. In addition, the MPR provides fan charts of growth and inflation projections.",No
Main functions served,Support functioning of payments system after business hours,"Liquidity management, prudential issues",N/A,Stabilise demand for base money,A guarantee provided by banks that they are available to fulfill part of their obligations with their debt holders in case of bankruptcy,Liquidity management,"It used to serve as a liquidity buffer for credit establishments, now it’s under revision.",N/A,N/A,Liquidity management,"Monetary control, prudential regulation, Liquidity management",Liquidity management,Monetary and Macro-prudential Tools,Liquidity management [65],Liquidity management [66],Liquidity management,N/A,Macroprudential purposes. The rate of reserve requirements changes with the purpose of contributing to an orderly evolution of liquidity and credit,Liquidity management,N/A,Liquidity management,Liquidity management,N/A [67],Monetary policy tools [68],Liquidity management,Cash reserves have never been actiely used as a tool for the management of money market liquidity. They are a source of liquidity should a bank be in distress.,Liquidity management and macro-prudential purposes
Domestic currency,Yes [69],Yes,N/A,2.5%,Yes,5-9.5%,Yes,N/A,N/A,9% (conventional) 7.5% (sharia) [70],4.5% [71],0.05-1.3%,Yes,0–7% [72],Yes [73],2.0% [74],N/A,Yes,.12 [75], ,3% of banking system liabilities,1% of deposit base [76],0% [77],"Deposits of less than 12-month maturity: 3 percent, 12-month maturity and above 1 percent [78]",1%,Reserves are only kept in domestic currency.,3–8% [79]
Foreign currency,No,No,N/A,–,Yes,6%,No, ,N/A,"4% (conventional, with 2% in daily and 2% in average forms) 1% (sharia)",-,0.15-0.25%,Yes,1–7%,No,-,N/A,Yes, , ,–, ,–,"Deposit of less than 12-month maturity: 8 percent, 12-month maturity and above: 6 percent, deposit by foreign credit institutions: 1 percent [80]",–,Reserves are not kept in foreign currency.,5–26% [81]
Average,N/A [82],15% [83],N/A,2.5%,Yes, ,Yes [84], ,N/A,-,4.5%,0.84% [85],7% [86],5.1% [87],N/A,2.0%,N/A,Yes, , ,3% of banking system liabilities,.01,0%,"On average, required reserve in VND accounts for 2 percent and that in foreign currency accounts for 7 percent of the deposit outstanding used to calculate required reserve.",1%,Banks are required to meet the requirement on a average daily basis for the holding period.,"7.6% for TRY denominated liabilities, 22% for foreign currency denominated liabilities [88]"
Required reserves,AUD 24 bn,BRL 497 bn [89],N/A,CHF 23.20 bn [90],"CLP 6,7 trn",CNY 18 trn,COP 35.22 bn [91],N/A,N/A,IDR511.11 trn [92],INR 7.64 tn ($96.4bn) [93],JPY 12.49 trn [94],KHR 1.1 trn & USD 2.8 bn (Total both in KHR: 12.6 trn) [95],KRW 101.7 trn [96],MXN 270 bn [97],.02 [98],N/A,"PEN 11,0 bn and USD 13,2 bn (6% in domestic currency and 35% in foreign currency of the monthly average of liabilities included within the reserve requirement) [99]","PHP1,563.7 billion [100]",N/A,SGD 22.7 bn,THB 171.7bn [101],USD 0 [102],SBV's trading desk does not publicise this figure,EUR 160 858 bn [103],R132 048 million (31/07/2022),TRY 1539 bn [104]
Required reserve as % of GDP,1.2%,5.38% [105],N/A,3.11%,2.8%,16%,2.99% (as a percentage of annual GDP as of 2021 – Q4),N/A,N/A,3.01% [106],3.23% [107],2.3% [108],0.11% [109],4.91% [110],1.5% [111],2.0%,N/A,"4,57% [112]",.0806 [113], ,4.26% [114],.0093 [115],0%,As above,1.4%,2.86% [116],"12,25% [117]"
Actual reserves,AUD 400-450 bn,BRL 493 bn [118],CAD 192.3bln [119],CHF 648.19 bn [120],"CLP 6,8 trn",CNY 20 trn [121],COP 36.14 bn [122],GBP 950.5bn [123],N/A,IDR537.08 trn [124],INR 8.06 tn ($101.7bn) [125],JPY 472.8 trn [126],KHR 1.18 trn & USD 3.2 bn (Total both in KHR: 14.3 trn) [127],KRW 105.9 trn [128],MXN 270 bn [129],RM3.0 billion [130],N/A,"PEN 11,2 bn and USD 13,4 bn [131]","PHP1,655.6 billion [132]", ,This figure is not for publishing,THB 180.0bn [133],USD 3.2 tr [134],As above,"EUR 3,782,461 bn [135]",R132 048 million (31/07/2022),TRY 2280 bn [136]
Actual reserve as % of GDP,19-22%,5.34% [137],7.1%,86.81%,2.8%,17%,3.07% (as a percentage of annual GDP as of 2021 – Q4),43% [138],N/A,3.16% [139],3.41% [140],86.7% [141],0.13% [142],5.11% [143],1.5% [144],0.2%,N/A,"4,69% [145]",.0853 [146], ,This figure is not for publishing,.01 [147],.1229 [148],As above,32.5%,2.86% [149],"18,2% [150]"
Averaging,N,Yes for demand depoists. No for savings and time deposits,N/A,Y,Yes,Y,"Yes, over maintenance period",N [151],N/A,Y [152],Yes with daily minimum requirement,Yes,Yes (Partial Averaging) [153],Y,No [154],Yes [155],N/A,Yes,N,N/A,Y,Y,N/A,Yes [156],Y,The requirement is met on a daily average basis over the required holding period.,Y [157]
Carry-over,N,Yes for demand depoists. No for savings and time deposits,N/A,N,No,N,No,N [158],N/A,N,No,No,No,N,No,No,N/A,No,Y [159],N/A,N,Y,N/A,No,N,"There is no carry over, for each holding perriod a new requirment is calculated that has to be met.",Y [160]
Type,N/A [161],Lagged,N/A,Lagged,Lagged,Lagged,Lagged,N/A,N/A,Lagged,Lagged,Half-lagged,Lagged,Lagged,N/A*,Lagged,N/A,Contemporaneous,Lagged [162],N/A,Lagged,Lagged,N/A,Deposit at the State Bank of Vietnam [163],Lagged, ,Lagged
Maintenance period,Daily,Demand Deposits: 2 weeks; Others: 1 week,N/A,1 month,1 month,10 days,14 days,Around six to eight weeks,N/A,2 weeks,2 weeks,1 month,14 Days,1 month [164],Daily,2 weeks,N/A,Monthly,1 week,N/A,2 weeks,2 wks,N/A,One month [165],Around 6/7 weeks,The maintenance period spans from the 15th business day following month end to the 14th business day of the following month end.,14 days
* end (day),Daily,Fridays,N/A,19th,8th of the following month,"5th, 15th, 25th",Tuesday,MPC-1,N/A,15th and end of month,Reporting Friday of every fortnight,15th,Day 14th (Following actual day count in the calendar) [166],Wednesday of the second week,Daily,"15th, end-month",N/A,Last day of month,Thurs,N/A,Wed,Tues,N/A,The last day of a month,Tue,"There is no formal requirement to comply on a daily basis, compliance is met on a daily average basis for the holding period.",Fridays (every two weeks) [167]
Calculation period,N/A [168],Demand Deposits: 2 weeks; Others: 1 week,N/A,3 months,1 month,10 days,14 days,Around six to eight weeks,N/A,2 weeks,2 weeks,1 month,14 Days,1 month [169],N/A*,2 weeks,N/A,Monthly,1 week,N/A,2 weeks,2 wks,NA,One month [170],Around 6/7 weeks,The calculation period and the maitenance period are the same.,14 days [171]
* end (day),N/A [172],Fridays,N/A,end-month,8th of the following month,"10th, 20th, end-month",Tuesday,MPC-1,N/A,15th and end of month,Reporting Friday,end-month,Day 14th (Following actual day count in the calendar) [173],end-month,N/A*,"15th, end-month",N/A,Last day of month,Thurs,N/A,Wed,Tues, ,The last day of a month,Tue, ,Fridays (every two weeks) [174]
Lag before maintenance,N/A [175],1 week,N/A,20 days,1 month,5 days,7 days,N/A,N/A,2 weeks,2 weeks,15 days,4 Days,5–11 days,N/A*,2 weeks,N/A,No,1 week,N/A,2 weeks,2 wks,N/A,One month [176],32–62 days,No time lag.,14 days
Vault cash,N,N,N/A,Y,Yes,N,Yes,N,N/A,N,N,No,No,Y,No,No,N/A,Yes,N,N/A,N,Y, ,No [177],N,Vault cash is not allowed to be taken into account.,N
* restrictions,N/A, ,N/A, ,N/A, ,No, ,N/A, ,N, , ,Y [178],N/A*, ,N/A,Yes, ,N/A, ,Y [179], ,Not Applicable, , , 
Remuneration,Y,Yes,N/A,N,No,Y,No,Y,N/A,Y [180],N,No,No,N [181],Yes [182],No,N/A,Yes,N,N/A,N,N [183],N/A,According to monetary policy objectives [184],Y,No remuneration on the statutory cash reserve accounts.,N [185]
* average rate,Floor of corridor [186],"Demand Deposits: no remuneration; Savings: TR + 0,5%, if Selic target rate >8.5%, or TR + 70% of Selic target rate otherwise; Others: Federal Funds Rate (Selic) [187]",N/A, ,0%, ,0%,Bank Rate,N/A, , ,0%, , ,Key policy rate: Overnight Interbank Funding Rate, ,N/A, , ,N/A, , ,N/A, ,Interest rate on the main refinancing operation, , 
* marginal rate,Floor of corridor [188], ,N/A, ,0%, ,0%,Bank Rate,N/A, , , , , , , ,N/A,"Domestic currency: Max(0, Reference Rate - 395 bps) Foreign currency: Max(25% x (Term SOFR 1M - 10 bps), Term SOFR 1M – 50 bps)", ,N/A, , ,N/A, , , , 
Framework last changed,9/21 [189],10/2020,06/92 [190],03/04,08-01-2019 (remuneration suppression),04/22,Apr-Jul of 2020 [191],03/09,N/A,09/22,05/2022 [192],January 2016,March 2020,12/2011,March 2020 [193],15 May 2020 [194],N/A,Domestic currency: May-22; Foreign currency: Apr-21,4/12 [195],N/A,03/14 [196],Jan 2016,20-Mar [197],2003,01/15,April 1998,31 August 2022
Structural Position,Deficit [198],Surplus,Surplus,Surplus,Surplus,Closing to balanced,Surplus,Surplus [199],Surplus,Surplus,"Depending upon the stance decided by the MPC, based on its assessment of the current and evolving macroeconomic situation.",Deficit,N/A,Surplus,Surplus [200],Surplus,Deficit,Surplus,Liquidity surplus,Surplus,Surplus,Surplus,Surplus,"Generally, liquidity is guaranteed",Surplus,"The SARB is moving from a shortage system to a surplus system, with quotas. At the end of the transition period, a surplus of R50 bln will be created. Each bank has a quota which amounts will earn the repo rate. Anything in excess of quota will earn the repo rate less 100 bps.",Liquidity Deficit
Most volatile factor(s),"Tax, Government financing","Government sector flows, demand deposits, changes in the international reserves position and Daily adjustment of FX swaps (""swap cambial"")",Large payment flows,"Treasury account, sight deposits non-banks, banknotes","Government sector and capital flows, monetary base dynamics",Government sector flows,Government deposits at the central bank,Loan to APF and the TFSME [201],Capital flows,"utilisation of Rupiah reserve, Government transaction flows and currency flows","Capital flows, Government cash flows","Government sector flows, Banknotes", ,Government sector flows,Government outlays,"Transfers between conventional and Islamic accounts, Currency in circulation, Capital flows",Tax revenue,Government sector flows,"Government sector flows, foreign exchange operations",Public demand for Notes and coins,Public sector flows,Public sector flows,"Treasury General Account (Government Deposits), ON RRP, Foreign RP Pool, Other Deposits (GSEs, designated financial market utilities)","- Cash, due to the seasonality of citizens' cash holding
- Government spending",Government deposits,notes and coin and Corporation for Public Deposits (CPD),Autonomous Factors (Treasuary's transactions and Banknotes in Circulation)
Most unpredictable factor(s),"Tax, Government outlays",Reserve requirements on sight deposit and Daily adjustment of FX swaps (swap cambial) [202],Government sector flows,"Treasury account, sight deposits non-banks, banknotes",Currency flows and capital flows,Government sector flows,Government deposits at the central bank,Accounts of UK government’s Debt Management Office and of other central banks,Capital flows,utilisation of Rupiah reserve,"Capital flows, Government cash flows","Foreign central banks’ deposits, Government sector flows", ,Government sector flows,FX interventions,"Government sector flows, transfers between conventional and Islamic accounts",Tax revenue,FX operations,"Government sector flows, foreign exchange operations [203]", ,Public sector flows and FX intervention operations,Public sector flows,"Treasury General Account (Government Deposits), ON RRP, Foreign RP Pool, Other Deposits (GSEs, designated financial market utilities)",Government spending; cash,Government deposits,Notes & Coin and CPD,Treasuary's transactions
Forecast horizon(s),1 year [204],Up to 1 year,1 year,10 days,3 months,3 month,4 months,2 weeks,3 days,1 year,4 weeks,Daily and monthly, ,1 month,Up to 1 year,1 month,1 year,"Daily, weekly, monthly",2 months,6 months,3 months,1 month,(i) 6 months and (ii) through 2030,"Daily, monthly",10–49 working days,week,14-18 days ahead
Frequency,Daily,Daily,Daily,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Weekly,Daily, ,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Daily,Daily,(i) Daily and (ii) Monthly,"Daily, monthly",Daily,weekly,Daily
Frequency of revision,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily (2x),Weekly,Daily, ,Daily,Daily [205],4 times a day,Daily,Daily,Daily,Weekly,Daily,Daily,(i) Daily and (ii) Every 6-8 weeks,"Daily, monthly",Daily,daily,Daily
Forecast published?,No,No,No (no longer targetting a specific level of settlement balances),No,No,No,No,No,Yes,"Yes, daily",No,"Yes, daily and monthly.", ,No,Yes [206],"Yes, daily",Yes [207],No,No,A 1 week projection is published weekly.,No,No [208],No [209],No,Yes [210],no,The forecast is not publicly available
Name,Overnight repo,Nivelamento [211],Standing Liquidity Facility [212],Liquidity-shortage financing facility,Standing lending facility (SLF),Standing Lending Facility,Lending facility,Operational Standing Lending Facility,Discount Window,"(i) Lending Facility
(ii) Financing Facility (Sharia)",Marginal Standing Facility (MSF),Complementary lending facility [213],Marginal Lending Facility (MLF) [214],Liquidity adjustment loans,Standing Facility,Standing facility,Overnight Reverse Repo Facility,i) Credit facility ii) Direct Repo,Overnight Lending Facility,Standing lending facility & Supplementary liquidity facility,Standing Facility,End-of-day Lending Facility,"(i) Primary credit facility (PCF)
(ii) Secondary credit facility (SCF)
(iii) Standing repo facility (SRF)
(iv) FIMA repo facility",Refinancing [215],Marginal lending facility,Standing facility repo,Standing lending facility
Form,Reverse repo (=RP),Repo,Secured loan,Repo (inject liquidity),Collateralized loan,Collateralised loan,Repo,Collateralised loan,Repo,"(i) Repo
(ii) Other contract in sharia principle",Collateralised against government securities,Fixed-term loan,Overnight,Loan,Secured Loan and Intraday Repo (inject liquidity - RP) [216],"Reverse repo (=RP), collateralised loan, and currency swap arrangement (CSA)",Reverse repo (=RP),i) Secured Loan ii) Repo,Collateralized loan,Collateralised lending against Primary collateral volume (Standing lending facility) & Secondary collateral volume (Supplementary liquidity facility).,Repo,Repo,Secured loan,Valuable papers-mortgaged lending [217],Reversed purchase (RP) or collateralised credit,automatic end of day square off facility,"Repo, collateralized loan"
Pricing method,Fixed margin above target cash rate,Base Selic rate + 35 bps,Fixed at the Bank rate as of the Credit Date [218],"max(SNB policy rate,0) +Â 50 bps, at least 0%",Policy rate + 25 bps,Fixed rate,Fixed rate: Reference rate + 100bp,Bank Rate + 25 bps,"For the first 50% of collateral holding: Base rate
For the next 50%: either Base Rate plus 5% or the overnight HKD HIBOR, whichever is the higher [219]",Policy Rate + 75bps,MSF Rate (25 bps above the policy Repo Rate),Basic loan rate,on demand,Base rate + 100 bps [220],Lending: 2 times the key policy rate (Overnight Interbank Funding Rate),OPR + 25bps,Official cash rate + 25bp,"Reference Rate + 50 bps for the first 10 operations in the last 3 months. Thereafter, the rate is set by the MOC",Fixed rate,Policy rate plus 10 bp & Policy rate plus 75 bp,Reference rate + 50bps [221],Policy rate plus 50bps,As of November 2022 (i) set at 400 bps (ii) set at 450 bps (iii) set at 400 basis points (iv) set at 400 bps,SBV's refinancing rate [222],Fixed rate,Offered at repo plus 100 bps,Base rate + 150bps
Maturity,O/N,1 day,1 day,O/N,O/N,"O/N, 1w, 1m",1 labor day,O/N,O/N,O/N,Overnight,O/N,Overnight [223],1 day [224],One day (overnight),O/N,O/N,O/N,O/N,O/N,O/N,O/N,"(i) O/N (up to 90 days)
(ii) O/N
(iii) O/N
(iv) O/N [225]",Below 12-month [226],1 day O/N,overnight,O/N
Access limited by/to,Collateral holders of Exchange Settlement Accounts,Financial institutions; eligible collateral,"Participants in the Lynx payment system, eligible collateral [227]","(1) limit by the SNB, (2) a custody cover account, (3)Â collateral eligible for SNB repos covering at least 110% of the limit must be held",Banks,Collateral,"No borrower limits. Access to credit institutions, Bancoldex (development bank), broker dealers (participants of the government’s market making program) and asset managers of open-ended funds on behalf of those funds. [228]","Banks, building societies, CCPs and broker-dealers, unlimited size but only against eligible collateral [229]",Collateral [230],Collateral; banks registered as participants in monetary operations,"Collateral; scheduled commercial banks (SCBs); select Urban Cooperative Banks (UCBs), select Regional Rural Banks (RRBs) and select Scheduled State Cooperative banks (SSCBs)",Eligible collateral; BOJ counterparties only,Collateral; BFIs,Eligible collateral; reserve depository institutions,Commercial and development banks only,Financial institutions that are interbank participants; eligible collateral,Collateral; Global Master Repurchase Agreement 2011.,Depositary institutions,Collateral; banks and non-banks with quasi-banking functions (NBQBs),Monetary policy counterparties,Collateral; MEPS+ participating banks that have signed a GMRA with MAS.,"Eligible collateral; banks, finance companies, specialised financial institutions and other juristic persons permitted by BOT","PCF for depository institutions in sound financial condition, SCF for other depository institutions; loans must be fully collateralised. SRF eligibility includes primary dealers and depository institutions; eligible securities for repo transactions are U.S. Treasury securities, agency debt securities, and agency mortgage-backed securities. FIMA repo facility for foreign central bank and international accounts; eligible securities for repo transactions are U.S. Treasury securities. [231]","Credit institutions established and operating under the Law on Credit Institutions; having qualified valuable papers and on the list of valuable papers used as collateral to borrow money from the State Bank in accordance with the regulations of the Governor of the State Bank of Vietnam, with the purpose of borrowing being in line with the SBV's objectives of monetary policy conduction in each period; and having no overdue debts with the State Bank [232]",Collateral / eligible counterparties,clearing banks,"Eligible collateral, CBRT counterparties only"
Function(s),Marginal liquidity accommodation; limit interest rate volatility; provides liquidity insurance (where usage via Committed Liquidity Facility),Marginal liquidity accommodation; limit interest rate volatility; short-term liquidity provision,"To reinforce the upper limit of the operating band, provide overnight liquidity at the end of the day [233]","Liquidity management; to bridge unexpected, short-term liquidity bottlenecks",Provide reserves when requested by a bank given enough collaterals,"Liquidity management, smooth interest rate volatility",Set upper limit to interbank interest rate,Limits interest rate volatility; provides liquidity insurance against frictional payment shocks,Facilitate smooth operation of the interbank payment system and thus preserve systemic stability,Establish ceiling of O/N rate corridor,Liquidity injection,Marginal accommodation; limit interest rate volatility,Liquidity management,Limit interest rate volatility,"Marginal liquidity management. Lender of last resort, to help alleviate short-term liquidity bottlenecks.",Maintain ceiling of operating band,Limit interest rate volatility; ensure financial system liquidity,Instruments used by the central bank as lender of last resort.,Limit interest rate volatility; reinforce upper limit of operational band,Provides liquidity insurance,Limit interest rate volatility and prevent payment gridlock,Limit interest rate volatility,"Marginal liquidity accommodation (i, ii, iii, iv); lender of last resort (i, ii); ceiling on policy rate (i, iii)",To provide short-term capital and liquidity to credit institutions [234],Signalling; limit interest rate volatility,manage liquidity at end of day and square market,Limit interest rate volatility
Name,Exchange Settlement Account rate,Nivelamento [235],Deposit facility,Interest on sight deposits,Standing deposit facility (SDF),N/A,Deposit facility,Operational Standing Deposit Facility,N/A,Deposit Facility [236],Standing deposit facility (SDF) [237],Complementary deposit facility [238],N/A,Liquidity adjustment deposits,Standing Facility,Standing facility,Overnight Deposit rate,Overnight deposits,Overnight Deposit Facility,Standing deposit facility,Standing facility,End-of-day Deposit Facility,Standing facility [239],Not applicable,Deposit facility,Standing facility reverse repo,Standing deposit facility
Form,Deposit,Reverse repo (=RP),Deposit,Tiered remuneration of sight deposits,Deposit,N/A,Deposit,Deposit,N/A,Deposit,Uncollateralised deposit,Deposit, ,Deposit,Deposit,Deposit,Deposit,Deposit,Deposit,Deposit,Deposit,Deposit,Interest on Reserve Balances,Not applicable,Deposit,automatic end of day square off facility,Deposit
Pricing method,Fixed margin below target cash rate,Base Selic rate – 35 bps,Deposit rate is fixed at the target rate (the lower limit of the operating band),"Reserves that exceed a bank-specific threshold are remumerated at the SNB policy rate, while reserves that exceed this threshold are remunerated at the SNB policy rate minus a discount.",Policy rate - 25 bps,N/A,Fixed rate: Reference rate - 100 bps,Bank Rate minus 25 bp,N/A,Policy Rate - 75bps,SDF rate (25 bps below the policy repo rate),Different fixed rates applied depending upon the level of outstanding balance of financial institution’s current account at the bank, ,Base rate – 100 bps [240],0%,OPR - 25bps,Official cash rate,Reference Rate - 200 bps,Fixed rate,Policy rate minus 10 bp,"Reference rate less 50bp, floored at zero [241]",Policy rate minus 50bp,"As of November 2022, 390 bps",Not applicable,Fixed rate,repo less 100 bps,Base rate - 150bps
Maturity,O/N,1 day,1 day,O/N,O/N,N/A,1 labor day,O/N,N/A,O/N,Overnight,1 day, ,1 day,One day (overnight),O/N,O/N,O/N,O/N,O/N,O/N,O/N,O/N,Not applicable,1 day O/N,overnight,O/N
Access limited by/to,Exchange settlement account eligibility,Financial institutions that are primary dealers; eligible collateral,Participants in the Lynx payment system,All sight deposits held by banks and other financial market participants at the SNB.,Banks,N/A,"No limits. Access to credit institutions, Bancoldex (development bank), broker dealers (participants of the government’s market making program), asset managers of open-ended funds on behalf of those funds, government special institutions, asset managers (proprietary account, on behalf of third parties or managed funds), pension funds (proprietary account, on behalf of third parties or managed funds), securitization companies and insurance companies, Icetex (development bank), deposit insurance corporation, especially foreign exchange and financial intermediation service companies, capitalization companies, companies specializing in electronic deposits and payments and central counterparty risk clearinghouses. [242]","Banks, building societies, CCPs and broker-dealers, unlimited size [243]",N/A,Banks registered as participants in monetary operations,"Scheduled commercial banks (SCBs); select Urban Cooperative Banks (UCBs), Regional Rural Banks (RRBs), select Scheduled State Cooperative banks (SSCBs) and Primary Dealers",Reserve depository institutions and some other financial institutions which have a current account at the Bank, ,Reserve depository institutions,Commercial and development banks only,Financial institutions that are interbank participants,ESAS (RBNZ’s RTGS system) account holder,Depositary institutions and investment banks,Banks and NBQBs; resident funds,"Monetary policy counterparties (and some participants in the Riksbank’s payment system RIX at an interest rate that corresponds to the Policy rate minus 75 bp, e.g. CCPs)",MEPS+ participating banks,"Banks, finance companies, specialised financial institutions and other juristic persons permitted by BOT",Depository institutions,Not applicable,No size limit / eligible counterparties,clearing banks,No limit. CBRT counterparties only
Function(s),Depository for surplus cash reserves; Limit interest rate volatility; facilitate settlements,Marginal liquidity accommodation; limit interest rate volatility; short-term liquidity withdrawal,To encourage transactions in the market for overnight funds at rates around the lower limit of the operating band,Tiered reserve remuneration i) sets the floor for overnight rates and ii) provides incentives to trade in the interbank market,Withdraw reserves from banks with liquidity surpluses,N/A,Set lower limit to interbank interest rate,Limits interest rate volatility; provides liquidity insurance against frictional payment shocks,N/A,Establish floor of O/N rate corridor,Liquidity absorption,Lower the short end of the yield curve, ,Limit interest rate volatility,Marginal liquidity management. To help alleviate short-term liquidity bottlenecks. Depository for surplus cash reserves.,Maintain floor of operating band,Limit interest rate volatility; facilitate settlements; ensure financial system liquidity,Set the floor for the interbank rate,Liquidity management; reinforce lower limit of operational band,Stabilizes the interest rate in the overnight market and provides liquidity insurance,Limit interest rate volatility,Limit interest rate volatility,Help manage interest rates,Not applicable,Signalling; Limit interest rate volatility,to drain liqudity and square market at end of day,Limit interest rate volatility
Name/Type [244],RP and RRP,"RP and RRP, being RRP almost all the time","(i) ORs
(ii) ORRs [245]",Repo and reverse repo,Repo,Repo / reverse repo,RP* [246],"(i) Indexed Long-Term Repos
(ii) Contingent Term Repo Facility
(iii) Short Term Repo Facility - contingent on confirmatory MPC vote on commencing APF gilt sales",N/A,"(i) RRP
(ii) RP [247]","(i) 14-day variable rate repo / reverse repo operation (main operation)
(ii) Variable Rate Term Repo/Reverse Repo auction (Fine-tuning operations).
(iii) If needed, longer-term variable rate repo/reverse repo operations","(i) RRP
(ii) RP",LPCO,"(i) basically, RRP
(ii) Fine-tuning RP or RRP if necessary",RP and Deposits [248],"(i) RS
(ii) RP",Repo/RB bills & Reverse Repo,RP,Reverse Repo,Repo.,Repo and reverse repo,RS,"(i) SRF Facility
(ii) ON RRP facility
(iii) other RP, RRP operations","RP, RRP, Outright transaction [249]","(i) RP or collateralised credit
(ii) RP–Quick tenders [250]",Main repo (7 days); Supplementary Repo and reverse repos (overnight) at discretion of SARB in response to liquidity shocks,"RP, RS"
Maturity,"Typically 4 weeks or less, although longer terms may be offered if warranted by market conditions",from 1 day up to 1 year [251],1 day,1 week to 1 year,Usually from 1 day to 180 days,"Generally 7 days, other maturity up to 1 year, conducted discretionarily","Normally 7 days and 1 labor day, but it can be longer. So far the longest period has been 1 year.","(i) 6 month
(ii) Any term, as determined by BoE
(iii) 1W",N/A,"(i) 1 week to 12 months
(ii) 1 week to 12 months","(i) 14 days
(ii) Overnight up to 13 days
(iii) More than 14 days","(i) up to 1 year
(ii) up to 6 months","91Days, 182Days, 364Days","(i) Mainly 7 days
(ii) Varies",1 to 30 days [252],Up to 1 year,1day to 3 months,Up to 12 months (Temporary up to 3 years in 2017 - 2018),1 day,1 week,Up to 6 months,"1D, 7D, 14D and 1M","(i) O/N
(ii) O/N
(iii) Up to 65 business days",Determined by the SBV,"(i) 1 week and 3 months
(ii) Varies",7 days / overnight,"Weekly, 1 Day"
Frequency,Weekly,As needed,"(i) As needed
(ii) Daily (extra rounds as needed)",As needed,As needed,Daily,Daily,"(i) Weekly
(ii) As needed
(iii) Weekly",N/A,"(i) RRP: daily (1 week)
(ii) RP: daily (1 week) [253]","(i) Every 2 weeks
(ii) Discretionary
(iii) Discretionary",As needed,twice a month,"(i) Weekly
(ii) As needed","Daily, as needed","(i) Daily
(ii) As needed",As needed,As needed,Daily,Weekly,"Daily, as needed",Daily,"(i) Daily
(ii) Daily
(iii) Discretionary","OMOs are executed on a working day. If the date of redemption or the due date of the securities does not coincide with the working day, the payment and transfer of ownership of the securities shall be made immediately on the next working day, from which interest payment will be calculated [254]","(i) Weekly for 1-week operations; monthly for 3-month operations
(ii) As needed [255]",weekly/ at discretion of sarb,Daily
